,desc,mfc,names,price,url,desc_split,descrip,heat,heat_lvl,ing
0,"
A Mexican inspired blend of habanero and fresno chiles backed up with tamarind, cocoa, and mango.
Heat Level: Medium
Ingredients: White Vinegar, Peppers (habanero, fresno), Tomato, Mango, Tamarind Concentrate, Organic Sugar, Kosher Salt, Cocoa, Lemon Juice, Onion, Garlic, Cilantro, Cumin, Annatto Seed.
5 oz
",Arthur Wayne Hot Sauce, Spicy Mama Tamarind Hot Sauce    ,7.99,https://heathotsauce.com/collections/all/products/spicy-mama-tamarind-hot-sauce,"[A Mexican inspired blend of habanero and fresno chiles backed up with tamarind, cocoa, and mango., Heat Level: Medium, Ingredients: White Vinegar, Peppers (habanero, fresno), Tomato, Mango, Tamarind Concentrate, Organic Sugar, Kosher Salt, Cocoa, Lemon Juice, Onion, Garlic, Cilantro, Cumin, Annatto Seed., 5 oz]","A Mexican inspired blend of habanero and fresno chiles backed up with tamarind, cocoa, and mango.",medium,medium,"White Vinegar, Peppers (habanero, fresno), Tomato, Mango, Tamarind Concentrate, Organic Sugar, Kosher Salt, Cocoa, Lemon Juice, Onion, Garlic, Cilantro, Cumin, Annatto Seed."
1,"
This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle natural smoky flavor of the Hot Winter pepper, but contains no actual smoked peppers. 
Heat Level: Mild
Ingredients: Organic Peppers, Kosher Salt, Organic Garlic.
5 oz 
",Hot Winter, Hot Winter Chile Vinegar - Smoky    ,6.99,https://heathotsauce.com/collections/all/products/hot-winter-chile-vinegar-smoky,"[This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle natural smoky flavor of the Hot Winter pepper, but contains no actual smoked peppers. , Heat Level: Mild, Ingredients: Organic Peppers, Kosher Salt, Organic Garlic., 5 oz ]","This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle natural smoky flavor of the Hot Winter pepper, but contains no actual smoked peppers. ",mild,mild,"Organic Peppers, Kosher Salt, Organic Garlic."
2,"
 This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle fruity notes of heirloom peppers.
Heat Level: Mild
Ingredients: Organic Peppers, Kosher Salt, Organic Garlic.
5 oz 
",Hot Winter, Hot Winter Chile Vinegar - Fruity    ,6.99,https://heathotsauce.com/collections/all/products/hot-winter-chile-vinegar-fruity,"[ This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle fruity notes of heirloom peppers., Heat Level: Mild, Ingredients: Organic Peppers, Kosher Salt, Organic Garlic., 5 oz ]"," This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle fruity notes of heirloom peppers.",mild,mild,"Organic Peppers, Kosher Salt, Organic Garlic."
3,"
 This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version is the hottest of the Hot Winter spicy vinegars, but is still pretty mellow compared to most hot sauces.
Heat Level: Medium
Ingredients: Organic Peppers, Kosher Salt, Organic Garlic.
5 oz 
",Hot Winter, Hot Winter Chile Vinegar - Spicy    ,6.99,https://heathotsauce.com/collections/all/products/hot-winter-chile-vinegar-spicy,"[ This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version is the hottest of the Hot Winter spicy vinegars, but is still pretty mellow compared to most hot sauces., Heat Level: Medium, Ingredients: Organic Peppers, Kosher Salt, Organic Garlic., 5 oz ]"," This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version is the hottest of the Hot Winter spicy vinegars, but is still pretty mellow compared to most hot sauces.",medium,medium,"Organic Peppers, Kosher Salt, Organic Garlic."
4,"
A bright and vibrant blend of fresh fatalii peppers, plenty of garlic, and pure cane sugar, this sauce is a hotter, more citrusy twist on the classic Sriracha style.
Heat Level: Medium
Ingredients: Distilled Vinegar, Fatalii Peppers, Pure Cane Sugar, Minced Garlic (garlic, water, phosphoric acid), Granulated Garlic, Salt.
5 oz
",Parker's Gourmet, Fatalii-racha    ,7.99,https://heathotsauce.com/collections/all/products/fatalii-racha,"[A bright and vibrant blend of fresh fatalii peppers, plenty of garlic, and pure cane sugar, this sauce is a hotter, more citrusy twist on the classic Sriracha style., Heat Level: Medium, Ingredients: Distilled Vinegar, Fatalii Peppers, Pure Cane Sugar, Minced Garlic (garlic, water, phosphoric acid), Granulated Garlic, Salt., 5 oz]","A bright and vibrant blend of fresh fatalii peppers, plenty of garlic, and pure cane sugar, this sauce is a hotter, more citrusy twist on the classic Sriracha style.",medium,medium,"Distilled Vinegar, Fatalii Peppers, Pure Cane Sugar, Minced Garlic (garlic, water, phosphoric acid), Granulated Garlic, Salt."
5,"
With over 16 scorpion peppers per bottle, this sauce has a slow evil build. 
Heat Level: Extra Hot
Ingredients: Trinidad Scorpion Peppers, Bhut Jolokia Peppers, Habanero Peppers, Carrots, Mandarin Oranges, Tomatoes, Distilled White Vinegar, Vegetable Oil, Garlic, Sugar, and other all-natural spices.
5 oz
",Torchbearer Sauces, The Rapture    ,16.99,https://heathotsauce.com/collections/all/products/the-rapture,"[With over 16 scorpion peppers per bottle, this sauce has a slow evil build. , Heat Level: Extra Hot, Ingredients: Trinidad Scorpion Peppers, Bhut Jolokia Peppers, Habanero Peppers, Carrots, Mandarin Oranges, Tomatoes, Distilled White Vinegar, Vegetable Oil, Garlic, Sugar, and other all-natural spices., 5 oz]","With over 16 scorpion peppers per bottle, this sauce has a slow evil build. ",extra hot,extra hot,"Ingredients: Trinidad Scorpion Peppers, Bhut Jolokia Peppers, Habanero Peppers, Carrots, Mandarin Oranges, Tomatoes, Distilled White Vinegar, Vegetable Oil, Garlic, Sugar, and other all-natural spices."
6,"
A fresh and flavorful Mexican-style sauce made with a blend of Ghost and Arbol chiles, tomatoes, carrots, ginger, and cilantro.
Heat Level: Extra Hot
Ingredients: Ghost Pepper, Arbol Chile, Tomato, Carrot, Ginger, Cilantro, Onions, Garlic, Salt, Water, Seasoning, Vinegar.
5.2 oz
",Chipotlan Hot Sauce, Don Chingon Ghost Pepper Sauce    ,8.99,https://heathotsauce.com/collections/all/products/don-chingon-ghost-pepper-sauce,"[A fresh and flavorful Mexican-style sauce made with a blend of Ghost and Arbol chiles, tomatoes, carrots, ginger, and cilantro., Heat Level: Extra Hot, Ingredients: Ghost Pepper, Arbol Chile, Tomato, Carrot, Ginger, Cilantro, Onions, Garlic, Salt, Water, Seasoning, Vinegar., 5.2 oz]","A fresh and flavorful Mexican-style sauce made with a blend of Ghost and Arbol chiles, tomatoes, carrots, ginger, and cilantro.",extra hot,extra hot,"Ghost Pepper, Arbol Chile, Tomato, Carrot, Ginger, Cilantro, Onions, Garlic, Salt, Water, Seasoning, Vinegar."
7,"
 This new creation from Hotmaple is a hotter, more maple-y sauce with a delicious Barrel Aged Bourbon flavor.  
Heat Level: Hot
Ingredients: Onion, Water, Apple Cider, Vinegar, Yellow Bell Peppers, Maple Syrup, Habanero, Garlic, Contains Less Than 2%: Cilantro, Bourbon Flavoring, Turmeric (for color) & Spices.
5 oz
",Hotmaple, Hotmaple Bourbon Habanero    ,6.99,https://heathotsauce.com/collections/all/products/hotmaple-bourbon-habanero,"[ This new creation from Hotmaple is a hotter, more maple-y sauce with a delicious Barrel Aged Bourbon flavor.  , Heat Level: Hot, Ingredients: Onion, Water, Apple Cider, Vinegar, Yellow Bell Peppers, Maple Syrup, Habanero, Garlic, Contains Less Than 2%: Cilantro, Bourbon Flavoring, Turmeric (for color) & Spices., 5 oz]"," This new creation from Hotmaple is a hotter, more maple-y sauce with a delicious Barrel Aged Bourbon flavor.  ",hot,hot,"Ingredients: Onion, Water, Apple Cider, Vinegar, Yellow Bell Peppers, Maple Syrup, Habanero, Garlic, Contains Less Than 2%: Cilantro, Bourbon Flavoring, Turmeric (for color) & Spices."
8,"
Chilicali is a Indonesian-style Sambal made using garlic, shallots, lemongrass, and fresh red chilis. Perfect as a stir-in sauce for stir frys or as a marinade for meats and veggies.
Heat Level: Hot
Ingredients: ﻿Red Chili Pepper, Ginger, Shallots, Garlic, Salt, Black Pepper, Water, Grapeseed Oil, Kaffir Lime Leaves, Lemongrass, Citric Acid.
9.5 oz
",Chilicali, Chilicali Sambal    ,9.99,https://heathotsauce.com/collections/all/products/chilicali-sambal,"[Chilicali is a Indonesian-style Sambal made using garlic, shallots, lemongrass, and fresh red chilis. Perfect as a stir-in sauce for stir frys or as a marinade for meats and veggies., Heat Level: Hot, Ingredients: ﻿Red Chili Pepper, Ginger, Shallots, Garlic, Salt, Black Pepper, Water, Grapeseed Oil, Kaffir Lime Leaves, Lemongrass, Citric Acid., 9.5 oz]","Chilicali is a Indonesian-style Sambal made using garlic, shallots, lemongrass, and fresh red chilis. Perfect as a stir-in sauce for stir frys or as a marinade for meats and veggies.",hot,hot,"Ingredients: ﻿Red Chili Pepper, Ginger, Shallots, Garlic, Salt, Black Pepper, Water, Grapeseed Oil, Kaffir Lime Leaves, Lemongrass, Citric Acid."
9,"

Garden State Green showcases the freshest flavors of New Jersey in a traditional verde sauce. Keeping true to their 'seed to bottle' approach, they utilize a variety of their very own Green Super Hot Chiles tamed by the intense flavors of cilantro, lime, and tomatillo.
Heat Level: Hot
Ingredients: ﻿Tomatillos, Jalapeños, white wine vinegar, apple cider vinegar, cilantro, lime juice, onions, sugar, Mixed Green Super Hot peppers, olive oil, garlic & salt.
5 oz
",Jersey Barnfire, Garden State Green    ,7.99,https://heathotsauce.com/collections/all/products/garden-state-green,"[Garden State Green showcases the freshest flavors of New Jersey in a traditional verde sauce. Keeping true to their 'seed to bottle' approach, they utilize a variety of their very own Green Super Hot Chiles tamed by the intense flavors of cilantro, lime, and tomatillo., Heat Level: Hot, Ingredients: ﻿Tomatillos, Jalapeños, white wine vinegar, apple cider vinegar, cilantro, lime juice, onions, sugar, Mixed Green Super Hot peppers, olive oil, garlic & salt., 5 oz]","Garden State Green showcases the freshest flavors of New Jersey in a traditional verde sauce. Keeping true to their 'seed to bottle' approach, they utilize a variety of their very own Green Super Hot Chiles tamed by the intense flavors of cilantro, lime, and tomatillo.",hot,hot,"Ingredients: ﻿Tomatillos, Jalapeños, white wine vinegar, apple cider vinegar, cilantro, lime juice, onions, sugar, Mixed Green Super Hot peppers, olive oil, garlic & salt."
